,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
P056,P_NinaSimone_Feeling,14,43,0,Feeling Good,Nina Simone,NA,1965,Pop,Soul,,4.09,4.12,12.11,15.30,17.14,19.21,17.54,0.39,1.95,24.00,30.05,31.24,33.77,2.16,,0.08,0.09,0.14,0.15,0.13,0.01,0.02,0.16,0.25,0.11,0.21,0.02,,0.76,0.75,0.76,0.74,0.91,0.99
P057,P_WhitneyHouston_IWannaD,15,30,1,I Wanna Dance With Somebody,Whitney Houston,NA,1987,Pop,R&B,,4.07,4.07,23.95,7.15,10.11,25.57,14.98,2.38,0.94,28.61,51.04,33.85,44.90,2.89,,0.13,0.07,0.07,0.18,0.08,0.02,0.01,0.18,0.46,0.10,0.33,0.01,,0.92,0.92,0.93,0.93,0.95,0.99
P058,P_CollapsableHeartsClub_EasyStr,15,30,0,Easy Streets,The Collapsable Hearts Club,NA,2016,Pop,NA,,2.33,1.6,10.55,2.57,2.42,6.52,6.57,0.00,16.44,9.23,25.77,14.50,24.11,15.02,,0.07,0.02,0.01,0.05,0.05,0.00,0.12,0.06,0.25,0.04,0.16,0.08,,0.79,0.78,0.79,0.78,0.88,0.53
P059,P_Gotye_Somebod,15,30,0,Somebody That I Used To Know,Gotye,NA,2011,Pop,NA,,3.53,4.13,13.21,11.33,12.06,27.23,17.47,12.19,2.48,7.52,25.46,27.37,24.83,12.29,,0.11,0.07,0.09,0.25,0.15,0.11,0.01,0.06,0.23,0.13,0.16,0.05,,0.69,0.70,0.62,0.63,0.81,0.83
P060,P_JustinBieber_LoveYou,15,30,0,Love Yourself,Justin Bieber,NA,2015,Pop,NA,,3.63,4.07,9.97,7.58,27.97,17.93,27.65,5.62,1.88,0.20,18.10,30.44,15.94,5.75,,0.07,0.06,0.24,0.20,0.25,0.04,0.03,0.01,0.17,0.15,0.09,0.03,,0.77,0.78,0.78,0.79,0.91,0.95
P061,P_TheoKatzman_HardWor,16,25,0,Hard Work,Theo Katzman,NA,2016,Pop,Alternative Blues,,3.2,1.4,23.17,4.95,4.10,5.13,14.42,0.00,6.85,14.07,32.81,23.97,29.14,6.26,,0.13,0.03,0.04,0.07,0.09,0.00,0.06,0.14,0.37,0.07,0.26,0.04,,0.87,0.88,0.86,0.87,0.91,0.92
P062,P_KatyPerry_SwishSw,16,25,0,Swish Swish,Katy Perry,NA,2017,Pop,NA,,2.8,2.2,10.83,2.94,1.65,1.80,9.22,1.63,10.08,19.10,34.26,15.24,30.81,10.43,,0.07,0.03,0.02,0.01,0.06,0.01,0.11,0.12,0.35,0.04,0.24,0.08,,0.86,0.87,0.89,0.89,0.92,0.87
P063,P_BeeGees_Words,16,25,0,Words,Bee Gees,NA,1977,Pop,NA,,2.92,2.12,11.16,5.22,7.91,14.90,22.78,1.17,15.28,5.20,8.35,22.20,10.27,14.02,,0.09,0.05,0.08,0.18,0.24,0.03,0.12,0.04,0.05,0.12,0.05,0.09,,0.66,0.62,0.64,0.62,0.76,0.60
P064,P_SamSmith_LayMeDo,16,25,0,Lay Me Down,Sam Smith,NA,2014,Pop,NA,,3.76,3.04,16.42,16.07,26.75,25.55,26.86,25.79,0.00,0.00,2.59,36.16,2.31,19.97,,0.14,0.12,0.24,0.26,0.30,0.25,0.00,0.00,0.02,0.21,0.01,0.10,,0.81,0.82,0.80,0.80,0.89,0.97
P065,P_DavidGuetta_Memorie,17,29,0,Memories,David Guetta,NA,2009,Pop,EDM,,2.79,2.9,5.57,2.80,1.78,9.03,3.55,0.00,10.18,13.95,33.54,13.68,30.26,9.20,,0.02,0.02,0.01,0.06,0.03,0.00,0.08,0.08,0.33,0.03,0.22,0.05,,0.88,0.89,0.86,0.87,0.92,0.89
P066,P_Rihanna_Umbrell,17,29,0,Umbrella,Rihanna,NA,2007,Pop,R&B,,3.66,4.48,21.24,7.08,7.41,21.15,7.09,3.71,5.69,10.24,27.74,23.97,26.39,8.18,,0.13,0.06,0.06,0.17,0.06,0.03,0.05,0.10,0.24,0.09,0.17,0.04,,0.80,0.81,0.79,0.80,0.87,0.89
P067,P_VanessaCarlton_AThousa,17,29,0,A Thousand Miles,Vanessa Carlton,NA,2001,Pop,NA,,3.79,3.72,26.49,4.31,13.87,27.54,13.58,2.93,4.32,5.92,32.85,31.08,29.15,6.31,,0.13,0.02,0.11,0.25,0.11,0.05,0.03,0.04,0.24,0.12,0.15,0.04,,0.80,0.80,0.83,0.84,0.92,0.95
P069,P_CarlyRaeJepsen_CallMeM,18,37,0,Call Me Maybe,Carly Rae Jepsen,NA,2012,Pop,NA,,3.32,4.73,17.64,1.17,4.32,25.24,9.05,0.00,7.84,17.54,44.86,26.40,39.14,7.25,,0.09,0.01,0.04,0.15,0.05,0.00,0.05,0.10,0.44,0.06,0.29,0.03,,0.94,0.95,0.94,0.94,0.96,0.96
P070,P_PhilCollins_InTheAi,18,37,0,In The Air Tonight,Phil Collins,NA,1981,Pop,NA,,3.76,4.35,15.93,11.71,13.31,36.53,21.45,8.49,6.14,10.74,14.83,32.18,18.48,12.42,,0.09,0.08,0.10,0.36,0.20,0.10,0.05,0.07,0.10,0.15,0.09,0.07,,0.73,0.74,0.72,0.72,0.86,0.90
P071,P_JeffBuckley_Hallelu,18,37,0,Hallelujah,Jeff Buckley,NA,1994,Pop,NA,,4.24,4.54,27.06,22.50,28.03,37.06,32.88,20.98,0.50,2.03,4.45,40.17,5.62,16.04,,0.17,0.13,0.23,0.39,0.29,0.26,0.01,0.02,0.03,0.23,0.03,0.10,,0.88,0.88,0.87,0.86,0.94,0.98
P072,P_OliBrown_Speechl,18,37,0,Speechless,Oli Brown,NA,2010,Pop,Blues Indie,,3.3,1.11,5.49,2.02,6.63,9.68,13.18,2.85,6.38,12.09,28.69,18.40,27.31,8.02,,0.04,0.01,0.04,0.07,0.11,0.04,0.04,0.07,0.23,0.05,0.16,0.04,,0.75,0.75,0.73,0.73,0.88,0.89
P073,P_JustinTimberlake_MyLove,19,35,0,My Love,Justin Timberlake,NA,2006,Pop,NA,,2.94,2.66,12.03,8.23,13.73,6.66,12.41,1.24,7.29,16.66,23.01,25.45,25.48,7.80,,0.06,0.04,0.08,0.04,0.07,0.01,0.05,0.10,0.17,0.06,0.14,0.03,,0.69,0.70,0.67,0.67,0.78,0.89
P074,P_TaylorSwift_LookWha,19,35,0,Look What You Made Me Do,Taylor Swift,NA,2017,Pop,NA,,3.06,3.17,9.14,7.34,6.62,3.04,3.60,0.00,9.76,23.03,24.63,12.42,28.34,8.98,,0.05,0.04,0.04,0.02,0.02,0.00,0.07,0.17,0.20,0.03,0.18,0.04,,0.79,0.80,0.76,0.77,0.91,0.92
P075,P_EllieGoulding_Burn,19,35,0,Burn,Ellie Goulding,NA,2012,Pop,EDM,,3.09,3.91,12.32,11.55,7.76,8.75,6.74,1.31,3.03,17.14,26.35,21.96,26.48,3.03,,0.07,0.08,0.05,0.07,0.05,0.01,0.02,0.13,0.21,0.06,0.18,0.02,,0.75,0.76,0.73,0.74,0.85,0.95
P076,P_Oasis_AllArou,19,35,0,All Around The World,Oasis,NA,1997,Pop,Britpop,,3.26,2.4,13.78,9.34,11.24,22.33,19.18,3.31,2.64,4.94,18.82,31.11,17.26,5.18,,0.07,0.05,0.06,0.21,0.13,0.04,0.02,0.03,0.13,0.10,0.09,0.03,,0.67,0.67,0.65,0.65,0.83,0.96
P077,P_LuisFonsi_Despaci,20,24,0,Despacito,Luis Fonsi,ft. Daddy Yankee,2017,Pop,Reggaeton,,3.63,4.38,14.76,7.15,16.16,13.15,3.95,0.00,6.79,15.93,36.33,25.86,34.89,6.10,,0.08,0.05,0.09,0.10,0.03,0.00,0.05,0.10,0.34,0.07,0.23,0.03,,0.85,0.86,0.84,0.85,0.87,0.93
P078,P_SteelyDan_DoItAga,20,24,0,Do It Again,Steely Dan,NA,1972,Pop,NA,,2.92,1.92,10.27,4.08,6.05,10.06,10.50,0.00,3.11,10.39,21.98,20.07,21.25,2.85,,0.07,0.03,0.03,0.09,0.08,0.00,0.03,0.08,0.18,0.06,0.13,0.02,,0.69,0.68,0.67,0.66,0.78,0.92
P079,P_BeachBoys_GoodVib,20,24,0,Good Vibrations,The Beach Boys,NA,1966,Pop,psychedelic rock,,3.79,3.42,13.81,4.72,7.72,18.41,16.39,2.45,4.15,11.81,28.56,28.41,29.36,5.73,,0.05,0.02,0.04,0.16,0.12,0.03,0.03,0.08,0.23,0.07,0.16,0.03,,0.72,0.73,0.68,0.69,0.80,0.93
P080,P_Adele_Someone,20,24,0,Someone Like You,Adele,NA,2011,Pop,Soul,,3.96,4.29,14.13,14.44,12.39,23.62,7.75,22.23,4.55,16.03,6.38,27.22,16.41,20.72,,0.10,0.06,0.10,0.22,0.06,0.24,0.03,0.11,0.04,0.10,0.07,0.10,,0.61,0.60,0.61,0.61,0.64,0.46
P081,P_OutKast_Roses,21,23,0,Roses,OutKast,NA,2003,Pop,Hip Hop/Rap,,2.65,1.7,9.53,0.00,3.68,5.05,12.12,0.00,7.10,11.66,27.21,15.51,24.33,6.61,,0.07,0.00,0.04,0.03,0.09,0.00,0.04,0.08,0.27,0.04,0.18,0.03,,0.80,0.80,0.77,0.78,0.85,0.77
P082,P_MacDemarco_SaladDa,21,24,0,Salad Days,Mac Demarco,NA,2014,Pop,NA,,2.71,1.21,7.94,4.81,9.83,9.97,22.88,5.75,8.45,2.48,5.87,21.94,5.21,11.36,,0.06,0.03,0.11,0.14,0.26,0.04,0.04,0.02,0.10,0.11,0.06,0.04,,0.70,0.71,0.70,0.71,0.71,0.82
P083,P_Wrabel_TheVill,21,23,0,The Village,Wrabel,NA,2017,Pop,NA,,3.43,2.04,19.17,13.78,18.16,14.19,20.88,16.86,3.63,5.80,11.78,27.07,12.81,15.33,,0.17,0.13,0.17,0.22,0.25,0.22,0.03,0.08,0.09,0.18,0.08,0.10,,0.61,0.62,0.51,0.53,0.51,0.73
P084,P_HeyJudeschka_Immerwi,21,24,0,ImmerwiederSommertag,Hey Judeschka!,NA,2017,Pop,Deutsch Pop,,3.21,1.08,11.50,6.68,16.91,12.64,31.36,8.55,0.88,0.50,8.83,30.52,8.28,6.67,,0.06,0.04,0.18,0.17,0.33,0.13,0.01,0.01,0.07,0.15,0.04,0.05,,0.79,0.80,0.74,0.75,0.86,0.95
P085,P_ZaraLarsson_LushLif,22,20,0,Lush Life,Zara Larsson,NA,2015,Pop,Pop,,2.75,2.9,17.47,2.57,0.45,12.44,7.65,0.00,3.57,12.67,33.95,16.42,32.62,3.35,,0.08,0.01,0.01,0.06,0.07,0.00,0.02,0.08,0.27,0.04,0.18,0.01,,0.85,0.86,0.83,0.84,0.90,0.93
P086,P_BackstreetBoys_Everybo,22,21,0,Everybody,Backstreet Boys,NA,1997,Pop,NA,,3.29,4.1,18.83,2.53,0.00,25.27,3.36,0.00,5.40,20.66,32.27,27.07,30.71,5.06,,0.09,0.01,0.00,0.14,0.03,0.00,0.03,0.15,0.36,0.05,0.26,0.02,,0.90,0.90,0.89,0.89,0.92,0.94
P087,P_ChainSmokers_Paris,22,20,0,Paris,Chain Smokers,NA,2017,Pop,electronic,,3.35,3.1,16.68,3.94,14.27,21.79,19.06,0.77,3.79,7.14,16.32,28.10,18.79,4.03,,0.08,0.03,0.11,0.16,0.12,0.03,0.03,0.08,0.12,0.10,0.10,0.03,,0.62,0.62,0.65,0.66,0.72,0.89
P088,P_ImogenHeap_Hideand,22,21,0,Hide and Seek,Imogen Heap,NA,2005,Pop,NA,,2.71,2.05,8.79,7.06,3.54,16.36,13.28,14.25,8.28,4.00,2.92,18.95,6.36,18.86,,0.07,0.06,0.05,0.20,0.09,0.16,0.07,0.02,0.02,0.09,0.02,0.10,,0.41,0.36,0.41,0.38,0.44,0.67
P089,P_KingsofLeon_SexOnFi,23,34,0,Sex On Fire,Kings of Leon,NA,2009,Pop,Rock,,3.47,3.91,10.96,10.45,10.67,17.27,7.49,2.02,1.40,21.54,35.95,22.39,33.40,2.97,,0.05,0.06,0.07,0.17,0.05,0.02,0.02,0.15,0.31,0.07,0.24,0.02,,0.87,0.88,0.88,0.88,0.93,0.97
P090,P_MIA_PaperPl,23,34,0,Paper Planes,M.I.A.,NA,2009,Pop,NA,,2.97,3.74,8.51,4.41,0.51,8.82,3.93,0.00,12.31,14.76,27.91,13.24,28.19,10.97,,0.04,0.03,0.01,0.05,0.05,0.00,0.11,0.11,0.21,0.03,0.16,0.07,,0.80,0.81,0.81,0.82,0.90,0.86
P091,P_OfMonstersandMen_Empire,23,34,0,Empire,Of Monsters and Men,NA,2015,Pop,Alternative/Indie,,3.15,1.32,13.55,10.51,17.22,12.73,17.96,3.49,2.85,10.41,14.76,26.33,17.65,5.53,,0.09,0.09,0.13,0.13,0.13,0.03,0.04,0.08,0.12,0.11,0.10,0.03,,0.52,0.46,0.58,0.54,0.67,0.92
P092,P_BackstreetBoys_IWantIt,23,34,0,I Want It That Way,Backstreet Boys,NA,1999,Pop,NA,,3.65,4.53,9.53,2.40,5.37,32.68,13.69,1.89,1.59,7.40,35.98,30.85,32.26,2.88,,0.04,0.01,0.04,0.20,0.10,0.02,0.02,0.05,0.29,0.07,0.18,0.02,,0.90,0.90,0.90,0.90,0.96,0.98
P093,P_Namika_Lieblin,24,43,0,Lieblingsmensch,Namika,NA,2015,Pop,NA,,3.12,2.95,13.43,6.73,10.55,11.78,15.03,0.00,4.65,5.54,20.93,22.96,21.69,4.15,,0.08,0.03,0.09,0.09,0.10,0.00,0.05,0.04,0.18,0.08,0.11,0.03,,0.71,0.73,0.67,0.69,0.84,0.94
P094,P_MarvinGaye_LetsGet,24,43,1,Lets Get It On,Marvin Gaye,NA,1973,Pop,NA,,3.58,4.14,13.43,1.49,29.82,14.87,17.40,0.00,1.04,4.03,23.07,30.18,22.35,0.93,,0.08,0.01,0.27,0.13,0.14,0.00,0.01,0.03,0.18,0.12,0.11,0.01,,0.86,0.86,0.86,0.86,0.94,0.98
P095,P_OwlCity_Firefli,24,43,0,Fireflies,Owl City,NA,2009,Pop,Elektropop,,3.63,4.28,18.88,5.13,5.98,20.64,16.35,0.99,1.83,8.43,21.77,27.37,22.87,1.75,,0.11,0.04,0.06,0.19,0.16,0.01,0.01,0.06,0.17,0.10,0.12,0.01,,0.86,0.85,0.86,0.85,0.90,0.97
P096,P_Babybird_IfYoull,24,43,0,If You'll Be Mine,Babybird,NA,1998,Pop,NA,,2.79,1.51,12.84,3.84,16.43,12.97,18.78,3.35,4.03,5.28,10.97,24.24,11.41,6.02,,0.07,0.03,0.15,0.13,0.16,0.04,0.04,0.03,0.07,0.10,0.05,0.04,,0.73,0.73,0.70,0.69,0.84,0.95
P097,P_GnarlsBarkley_Crazy,25,33,0,Crazy,Gnarls Barkley,NA,2006,Pop,R&B,,3.64,4.18,14.75,9.97,5.28,11.33,19.87,1.06,7.59,17.46,32.46,25.13,31.40,7.62,,0.08,0.08,0.04,0.11,0.15,0.03,0.07,0.15,0.27,0.09,0.21,0.06,,0.75,0.76,0.74,0.75,0.89,0.94
P098,P_LilyAllen_FuckYou,25,32,0,Fuck You,Lily Allen,NA,2009,Pop,NA,,3.38,3.09,14.26,0.78,1.78,12.38,16.06,0.00,7.63,23.28,34.20,22.65,33.50,7.10,,0.07,0.01,0.03,0.07,0.10,0.00,0.05,0.23,0.27,0.05,0.25,0.03,,0.84,0.85,0.82,0.83,0.93,0.94
P099,P_Pitbull_BetterO,25,34,0,Better On Me,Pitbull,NA,2017,Pop,NA,,2.65,1.44,6.40,5.50,12.27,8.27,17.27,1.80,9.38,11.07,26.68,20.82,24.49,8.66,,0.06,0.04,0.08,0.08,0.15,0.03,0.08,0.05,0.20,0.08,0.13,0.06,,0.67,0.68,0.70,0.71,0.85,0.84
P100,P_Beyonce_Halo,25,33,0,Halo,Beyonce,NA,2008,Pop,NA,,3.36,4.09,15.97,13.40,11.09,18.89,12.92,9.28,6.96,22.10,15.09,27.59,24.59,12.34,,0.10,0.11,0.09,0.17,0.10,0.11,0.05,0.19,0.11,0.11,0.15,0.07,,0.50,0.49,0.50,0.49,0.45,0.83
P101,P_ElleKing_ExsAndO,26,26,0,Ex's &Oh's,Elle King,NA,2015,Pop,Rock,,3.88,3.81,18.82,10.05,4.99,14.00,8.29,0.00,5.79,36.10,46.07,22.99,42.58,5.43,,0.09,0.07,0.04,0.11,0.06,0.00,0.03,0.29,0.47,0.07,0.39,0.02,,0.91,0.91,0.88,0.88,0.96,0.98
P102,P_BOBfeatBrunoMars_Nothing,26,26,0,Nothing On You,B.O.B. feat. Bruno Mars,NA,2010,Pop,Rap,,3.42,3.85,22.93,9.52,15.43,18.42,14.73,0.39,2.62,11.30,24.64,28.56,22.38,2.27,,0.11,0.06,0.12,0.14,0.13,0.03,0.04,0.08,0.22,0.11,0.15,0.03,,0.75,0.75,0.77,0.77,0.82,0.95
P103,P_Fiveforfighting_EasyTon,26,26,0,Easy Tonight,Five for fighting,NA,2000,Pop,Alternative/Indie,,2.92,1.04,7.58,12.84,14.98,23.77,16.75,3.86,6.36,8.09,15.69,22.22,16.27,7.39,,0.07,0.08,0.15,0.24,0.14,0.05,0.05,0.05,0.15,0.13,0.10,0.05,,0.61,0.61,0.60,0.61,0.73,0.83
P104,P_AvrilLavigne_Complic,26,26,1,Complicated,Avril Lavigne,NA,2002,Pop,NA,,3.81,4.19,10.05,12.76,7.03,39.80,12.49,7.41,3.65,18.56,28.32,31.26,27.38,7.94,,0.08,0.10,0.07,0.34,0.09,0.10,0.03,0.15,0.23,0.13,0.19,0.06,,0.76,0.77,0.78,0.78,0.90,0.93
P105,P_MileyCyrus_PartyIn,27,28,1,Party In The U.S.A,Miley Cyrus,NA,2009,Pop,NA,,3.25,3.36,21.28,5.60,3.73,14.14,12.85,1.05,6.04,19.14,41.73,25.50,36.35,6.47,,0.08,0.04,0.01,0.10,0.09,0.01,0.04,0.10,0.42,0.06,0.28,0.03,,0.91,0.91,0.91,0.91,0.92,0.94
P106,P_BeachBoys_Wouldnt,27,28,0,Wouldn't It Be Nice,The Beach Boys,NA,1966,Pop,Rock,,3.75,3.39,25.61,8.83,8.88,26.76,17.57,0.00,2.87,11.06,38.04,31.69,33.56,2.69,,0.13,0.04,0.06,0.21,0.13,0.00,0.01,0.06,0.35,0.11,0.22,0.01,,0.89,0.89,0.88,0.88,0.92,0.97
P107,P_Kodaline_HighHop,27,26,0,High Hopes,Kodaline,NA,2013,Pop,Indie Rock,,3.31,1.62,16.92,8.21,19.59,29.25,20.45,20.81,2.31,1.98,5.05,29.24,5.61,17.14,,0.07,0.06,0.19,0.32,0.16,0.30,0.01,0.02,0.03,0.15,0.02,0.12,,0.78,0.79,0.71,0.72,0.86,0.93
P108,P_Dido_WhiteFl,27,26,0,White Flag,Dido,NA,2003,Pop,NA,,3.5,3.31,6.26,11.51,18.72,25.95,26.23,5.92,4.70,2.12,11.01,27.79,10.51,7.27,,0.06,0.07,0.18,0.26,0.24,0.12,0.05,0.04,0.06,0.15,0.05,0.07,,0.71,0.71,0.72,0.72,0.86,0.92
P109,P_BonJovi_LivinOn,28,30,0,Livin On A Prayer,Bon Jovi,NA,1986,Pop,Rock,,3.67,4,15.83,8.87,4.20,16.17,5.40,0.00,5.45,31.44,32.50,25.05,37.19,5.07,,0.07,0.05,0.04,0.13,0.03,0.00,0.04,0.33,0.31,0.06,0.32,0.03,,0.87,0.87,0.87,0.87,0.93,0.97
P110,P_AmyMacdonald_MrRockA,28,30,0,Mr Rock & Roll,Amy Macdonald,NA,2007,Pop,"Singer-Songwriter, Folk",,3.17,2.63,10.21,2.18,11.58,16.73,10.64,2.84,3.19,5.05,25.46,18.93,22.50,5.37,,0.08,0.02,0.11,0.19,0.11,0.03,0.03,0.05,0.23,0.10,0.15,0.03,,0.72,0.72,0.76,0.74,0.89,0.89
P111,P_AliciaKeys_IfIAint,28,30,0,If I Ain't Got You,Alicia Keys,NA,2003,Pop,"R&B, Soul",,3.83,3.27,15.71,12.52,34.97,24.11,26.68,6.35,6.11,8.70,10.74,34.66,12.55,9.58,,0.13,0.11,0.33,0.27,0.26,0.09,0.04,0.07,0.07,0.21,0.07,0.06,,0.77,0.78,0.76,0.77,0.88,0.95
P112,P_DanielPowter_BadDay,28,30,0,Bad Day,Daniel Powter,NA,2005,Pop,NA,,3.67,4.37,15.43,4.84,22.89,28.54,19.85,5.44,0.48,7.78,24.23,32.95,23.43,4.50,,0.08,0.02,0.20,0.27,0.14,0.07,0.01,0.04,0.18,0.13,0.12,0.03,,0.75,0.76,0.74,0.75,0.88,0.96
P113,P_TalBachman_ShesSoH,29,36,0,Shes So High,Tal Bachman,NA,1999,Pop,Rock,,3.69,3.5,19.40,3.86,7.74,18.14,7.58,2.36,0.87,8.71,29.90,26.84,27.70,2.65,,0.10,0.02,0.06,0.17,0.05,0.03,0.01,0.06,0.27,0.08,0.17,0.01,,0.87,0.87,0.87,0.87,0.92,0.97
P114,P_Rihanna_Work,29,37,0,Work,Rihanna,NA,2016,Pop,Dancehall,,3,3.76,8.03,1.20,5.70,4.24,7.23,0.00,8.24,9.81,21.15,17.17,20.48,7.41,,0.03,0.01,0.04,0.03,0.04,0.00,0.09,0.04,0.16,0.03,0.11,0.06,,0.77,0.75,0.71,0.72,0.83,0.79
P115,P_DavidGray_PleaseF,29,37,0,Please Forgive me,David Gray,NA,1998,Pop,Singer-Songwriter,,2.95,1.78,10.32,7.05,4.12,9.91,12.42,0.00,5.74,3.96,11.45,20.94,11.99,5.31,,0.07,0.03,0.03,0.10,0.11,0.00,0.04,0.03,0.12,0.07,0.08,0.03,,0.53,0.51,0.46,0.44,0.68,0.90
P116,P_Paramore_TheOnly,29,37,0,The Only Exception,Paramore,NA,2009,Pop,NA,,3.32,2.7,8.70,5.41,10.74,20.14,15.92,9.36,3.05,3.24,9.78,26.64,10.01,9.18,,0.05,0.02,0.11,0.20,0.11,0.11,0.03,0.02,0.05,0.09,0.03,0.06,,0.73,0.74,0.71,0.73,0.74,0.92
P117,P_ImogenHeap_Goodnig,30,25,0,Goodnight And Go,Imogen Heap,NA,2005,Pop,NA,,2.6,1.28,8.42,4.12,10.52,4.97,10.60,0.00,8.66,3.36,13.08,16.38,13.56,7.89,,0.07,0.03,0.10,0.06,0.08,0.00,0.08,0.03,0.10,0.07,0.07,0.05,,0.43,0.32,0.39,0.31,0.53,0.37
P118,P_ArcticMonkeys_DoIWann,30,25,0,Do I Wanna Know,Arctic Monkeys,NA,2013,Pop,Britpop,,3.52,2.96,16.22,14.78,4.94,17.03,11.28,1.33,3.62,15.21,15.92,26.01,22.15,4.18,,0.09,0.10,0.06,0.16,0.08,0.04,0.03,0.13,0.13,0.09,0.13,0.04,,0.33,0.33,0.38,0.37,0.69,0.93
P119,P_NeilDiamond_IAmISai,30,25,0,I Am I Said,Neil Diamond,NA,1971,Pop,NA,,2.52,1.72,9.09,1.68,6.60,10.31,8.77,3.38,1.54,6.65,9.31,15.98,9.88,4.13,,0.06,0.02,0.05,0.14,0.08,0.05,0.01,0.06,0.07,0.07,0.07,0.03,,0.53,0.43,0.51,0.36,0.36,0.74
P120,P_AngusandJuliaStone_BigJetP,30,25,0,Big Jet Plane,Angus and Julia Stone,NA,2010,Pop,NA,,2.92,1.88,9.47,5.92,13.82,16.03,19.96,5.73,1.87,1.94,7.95,22.90,9.07,6.38,,0.06,0.05,0.10,0.17,0.18,0.07,0.02,0.01,0.05,0.11,0.03,0.04,,0.71,0.69,0.72,0.70,0.75,0.90
P121,P_GeorgeEzra_Budapes,31,21,0,Budapest,George Ezra,NA,2014,Pop,NA,,3.52,3.62,21.68,10.27,9.29,15.35,23.54,3.48,7.05,5.57,30.02,29.29,26.26,7.04,,0.10,0.06,0.06,0.16,0.19,0.05,0.08,0.05,0.24,0.11,0.15,0.07,,0.71,0.72,0.72,0.73,0.80,0.90
P122,P_MarvinGaye_SexualH,31,20,0,Sexual Healing,Marvin Gaye,NA,1982,Pop,Soul,,3.2,3.1,15.43,5.89,22.38,8.83,15.61,1.73,7.87,11.81,23.53,27.36,21.60,8.65,,0.13,0.03,0.19,0.09,0.11,0.03,0.06,0.06,0.18,0.11,0.13,0.05,,0.60,0.60,0.61,0.61,0.71,0.81
P123,P_Kooks_Naive,31,20,0,Naive,The Kooks,NA,2006,Pop,Indie,,3.55,3,16.03,11.66,11.54,24.68,18.97,0.00,2.07,11.59,27.36,29.63,26.23,1.89,,0.10,0.08,0.09,0.19,0.14,0.00,0.03,0.09,0.23,0.11,0.17,0.02,,0.65,0.65,0.70,0.70,0.82,0.95
P124,P_FrankOcean_Thinkin,31,21,0,Thinkin Bout You,Frank Ocean,NA,2012,Pop,NA,,2.67,2.19,10.35,3.74,10.46,14.76,18.31,4.89,11.37,0.00,11.57,20.53,10.71,14.43,,0.09,0.03,0.06,0.14,0.20,0.06,0.09,0.00,0.06,0.10,0.03,0.08,,0.57,0.52,0.59,0.55,0.57,0.26
P125,P_Genesis_ICantDa,32,23,0,I Can't Dance,Genesis,NA,1991,Pop,NA,,2.65,2.61,2.78,4.14,1.96,6.44,6.32,0.00,5.76,13.90,21.69,11.95,20.23,5.27,,0.04,0.04,0.04,0.08,0.05,0.00,0.05,0.10,0.22,0.05,0.16,0.03,,0.66,0.61,0.72,0.67,0.81,0.77
P126,P_BlackEyedPeas_IGottaF,32,23,0,I Gotta Feeling,Black Eyed Peas,NA,2009,Pop,NA,,3.7,4.57,22.65,5.87,2.47,20.01,5.45,0.00,7.39,27.75,46.35,26.73,41.64,6.78,,0.12,0.04,0.04,0.13,0.03,0.00,0.06,0.15,0.38,0.07,0.27,0.04,,0.91,0.91,0.91,0.92,0.94,0.94
P127,P_Shakira_Underne,32,23,0,Underneath your clothes,Shakira,NA,2001,Pop,NA,,2.78,2.48,8.19,3.99,16.78,18.19,20.92,3.71,1.23,1.46,11.46,21.99,11.95,3.10,,0.04,0.03,0.13,0.15,0.17,0.10,0.02,0.01,0.06,0.10,0.04,0.05,,0.56,0.55,0.50,0.50,0.80,0.88
P128,P_JamesMorrison_IWontLe,32,23,0,I Won't Let You Go,James Morrison,NA,2011,Pop,NA,,3,2.7,7.41,4.43,18.30,16.83,17.99,5.39,2.77,1.93,8.64,23.67,8.15,6.94,,0.05,0.03,0.17,0.17,0.16,0.06,0.02,0.01,0.06,0.11,0.04,0.03,,0.71,0.69,0.63,0.62,0.76,0.89
P129,P_LianneLaHavas_WhatYou,33,27,0,What You Don't Do,Lianne La Havas,NA,2015,Pop,NA,,2.93,1.22,11.98,5.29,10.32,2.06,8.79,0.00,5.65,10.19,21.61,20.12,22.11,5.13,,0.09,0.03,0.07,0.03,0.07,0.00,0.04,0.08,0.15,0.06,0.12,0.03,,0.69,0.68,0.69,0.67,0.78,0.89
