,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H040,14,44,99 Problems,Jay-Z,NA,2004,Hip Hop,NA,5.23,4.71,0.78,3.61,8.72,0.00,11.34,24.08,26.32,11.99,29.55,10.31,,0.03,0.03,0.01,0.02,0.06,0.00,0.10,0.20,0.20,0.03,0.20,0.06,2.52,,0.87,0.87,0.86,0.87,0.94,0.91,0.59,0.62,0.56,0.59,0.79,0.84,0.87,0.88,0.86,0.87,0.94,0.93
H041,14,43,In Da Club,50 Cent,NA,2003,Hip Hop,NA,9.26,4.18,3.31,9.81,10.30,0.00,7.59,16.79,35.35,20.29,33.58,6.90,,0.04,0.02,0.01,0.07,0.07,0.00,0.07,0.14,0.30,0.04,0.23,0.04,3.81,,0.84,0.85,0.83,0.84,0.91,0.89,0.83,0.84,0.83,0.83,0.88,0.95,0.89,0.90,0.88,0.88,0.94,0.95
H042,14,43,Poetry: How Does It Feel Now,Akua Naru,NA,2011,Hip Hop,NA,11.91,7.95,18.35,10.65,27.33,1.46,6.35,3.57,5.21,26.68,6.99,6.69,,0.06,0.05,0.14,0.10,0.24,0.02,0.06,0.03,0.02,0.11,0.03,0.04,1.35,,0.72,0.71,0.73,0.71,0.83,0.90,0.66,0.67,0.67,0.68,0.82,0.91,0.80,0.80,0.82,0.81,0.91,0.95
H043,15,30,B.O.B.,OutKast,NA,2000,Hip Hop,Hip-Hop/Rap,6.13,9.10,0.16,3.08,6.89,0.44,17.61,22.06,31.78,15.78,32.23,16.10,,0.04,0.07,0.01,0.03,0.05,0.01,0.17,0.17,0.28,0.04,0.23,0.11,1.83,,0.79,0.80,0.77,0.79,0.90,0.80,0.63,0.62,0.70,0.69,0.81,0.76,0.83,0.84,0.84,0.85,0.93,0.88
H044,15,30,Deathbed Doctrine,Jedi Mind Tricks,NA,2008,Hip Hop,Hip-Hop/Rap,6.94,4.88,1.82,1.67,3.96,0.00,14.08,23.36,34.41,13.42,34.13,12.59,,0.06,0.03,0.01,0.01,0.03,0.00,0.13,0.23,0.29,0.03,0.26,0.08,1.23,,0.79,0.80,0.75,0.76,0.92,0.89,0.64,0.63,0.61,0.60,0.86,0.81,0.85,0.85,0.83,0.83,0.95,0.93
H045,15,30,Leben Und Tod Des Kenneth Glöckler,Bushido,NA,2013,Hip Hop,NA,11.44,11.64,1.02,1.17,5.08,0.71,13.29,26.01,15.84,16.50,26.03,12.63,,0.11,0.08,0.01,0.02,0.05,0.01,0.12,0.26,0.09,0.06,0.17,0.08,1.50,,0.66,0.68,0.68,0.69,0.83,0.45,0.35,0.36,0.35,0.37,0.69,0.65,0.71,0.73,0.72,0.74,0.88,0.78
H046,16,25,Fight For Your Right,Beastie Boys,NA,1986,Hip Hop,NA,12.72,4.70,1.00,10.34,1.95,0.00,18.68,22.87,26.83,13.74,26.05,16.72,,0.08,0.03,0.02,0.10,0.02,0.00,0.18,0.19,0.32,0.05,0.26,0.12,2.52,,0.64,0.66,0.59,0.62,0.81,0.61,0.73,0.75,0.68,0.69,0.81,-0.42,0.81,0.82,0.77,0.79,0.88,0.49
H047,16,25,Actin Crazy,Action Bronson,NA,2015,Hip Hop,Hip-Hop/Rap,6.14,5.44,1.06,1.25,13.22,0.96,17.16,12.43,15.14,13.58,16.97,14.81,,0.05,0.02,0.01,0.01,0.10,0.03,0.18,0.11,0.13,0.04,0.12,0.13,1.00,,0.54,0.56,0.60,0.61,0.68,-0.38,0.62,0.51,0.61,0.57,0.57,0.25,0.72,0.68,0.72,0.69,0.74,-5.40
H049,17,29,Nullkommaneun,SSIO,NA,2016,Hip Hop,NA,8.89,10.41,1.06,1.06,2.75,0.00,23.23,13.34,21.99,17.22,24.18,20.73,,0.04,0.06,0.01,0.01,0.01,0.00,0.23,0.10,0.14,0.03,0.12,0.14,1.45,,0.70,0.67,0.68,0.66,0.75,-1.36,0.69,0.71,0.70,0.72,0.86,0.56,0.73,0.73,0.70,0.71,0.89,-0.32
H050,17,29,Da Mystery Of Chessboxin',Wu-Tang Clan,NA,1993,Hip Hop,Hip-Hop/Rap,4.81,4.99,1.45,1.23,2.79,0.00,16.99,20.21,21.34,10.87,24.16,15.63,,0.02,0.02,0.01,0.01,0.02,0.00,0.13,0.17,0.21,0.02,0.19,0.08,1.45,,0.63,0.64,0.62,0.63,0.83,0.55,0.72,0.73,0.67,0.68,0.82,0.49,0.80,0.81,0.77,0.78,0.91,0.76
