,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
P002,1,13,Virtual Insanity,Jamiroquai,NA,1996,Pop,NA,36.82,6.42,11.30,18.51,14.95,0.62,0.00,22.85,29.33,33.78,37.33,0.52,,0.18,0.03,0.08,0.10,0.12,0.03,0.00,0.11,0.22,0.10,0.17,0.01,2.46,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.64,0.63,0.62,0.62,0.84,0.97,0.64,0.63,0.62,0.62,0.84,0.97
P003,1,12,Heartbeats,Jose Gonzales,NA,2003,Pop,NA,30.06,12.30,33.08,27.53,34.47,6.22,0.00,5.80,0.00,35.84,4.90,5.25,,0.15,0.07,0.28,0.27,0.30,0.08,0.00,0.07,0.00,0.21,0.03,0.03,2.58,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.67,0.66,0.67,0.66,0.89,0.94,0.67,0.66,0.67,0.66,0.89,0.94
P004,1,12,I Don't Want To Miss A Thing,Aerosmith,NA,1998,Pop,NA,24.51,12.22,28.84,36.26,26.52,8.51,4.45,18.80,26.61,39.26,26.10,7.60,,0.13,0.07,0.18,0.29,0.17,0.11,0.02,0.08,0.15,0.16,0.12,0.05,3.58,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.50,0.48,0.48,0.46,0.68,0.91,0.50,0.48,0.48,0.46,0.68,0.91
P005,2,11,Push The Button,Sugababes,NA,2005,Pop,NA,27.58,9.27,7.53,15.57,7.20,4.61,10.56,25.47,36.61,34.85,37.38,13.73,,0.14,0.06,0.06,0.11,0.04,0.03,0.07,0.13,0.24,0.08,0.19,0.06,3.46,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.42,0.43,0.48,0.50,0.70,0.82,0.42,0.43,0.48,0.50,0.70,0.82
P006,2,12,Little Numbers,Boy,NA,2011,Pop,NA,34.74,18.70,15.95,11.83,19.30,2.33,0.00,8.40,32.87,35.74,30.46,1.97,,0.17,0.13,0.15,0.10,0.10,0.03,0.00,0.05,0.21,0.13,0.14,0.01,1.92,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.44,0.42,0.45,0.43,0.82,0.95,0.44,0.42,0.45,0.43,0.82,0.95
P007,2,12,Sweet Caroline,Neil Diamind,NA,1969,Pop,Softrock,23.01,13.90,13.54,18.33,4.10,0.00,0.00,11.05,32.87,33.70,30.61,0.00,,0.10,0.06,0.15,0.10,0.02,0.00,0.00,0.05,0.19,0.08,0.13,0.00,4.00,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.48,0.46,0.43,0.42,0.74,0.95,0.48,0.46,0.43,0.42,0.74,0.95
P008,2,11,Your Song,Elton John,NA,1970,Pop,NA,23.58,13.15,19.06,25.84,26.65,0.00,0.87,15.10,25.86,39.48,29.23,0.82,,0.11,0.05,0.13,0.16,0.18,0.00,0.02,0.09,0.12,0.12,0.11,0.01,4.27,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.41,0.40,0.42,0.41,0.58,0.95,0.41,0.40,0.42,0.41,0.58,0.95
P009,3,34,Pokerface,Lady Gaga,NA,2008,Pop,NA,13.90,8.10,0.00,19.12,6.92,0.00,1.92,26.87,44.81,28.92,42.03,1.80,,0.06,0.03,0.00,0.11,0.04,0.00,0.02,0.18,0.40,0.05,0.30,0.01,4.47,,0.84,0.85,0.86,0.86,0.93,0.97,0.86,0.86,0.85,0.85,0.91,0.94,0.92,0.92,0.92,0.92,0.95,0.98
P010,3,33,Don't Tell Me,Madonna,NA,2000,Pop,NA,5.92,4.77,6.18,11.06,16.06,0.00,7.95,5.36,18.19,21.06,17.90,7.15,,0.03,0.03,0.04,0.08,0.10,0.00,0.07,0.04,0.12,0.05,0.09,0.05,2.30,,0.53,0.44,0.58,0.47,0.79,0.79,0.46,0.48,0.34,0.34,0.59,0.61,0.63,0.58,0.60,0.50,0.79,0.84
P011,3,33,She's Mine,Brett Dennen,NA,2006,Pop,Alternativ/ Indie,12.95,5.15,18.65,14.44,27.84,0.71,6.10,2.51,18.69,27.83,17.46,6.25,,0.08,0.04,0.16,0.16,0.25,0.01,0.04,0.02,0.17,0.13,0.10,0.03,1.33,,0.79,0.79,0.78,0.79,0.92,0.94,0.33,0.37,0.45,0.49,0.54,0.60,0.78,0.79,0.77,0.78,0.89,0.91
P012,3,33,Girl Crush,Little Big Town,NA,2014,Pop,Country,12.17,6.12,24.86,16.34,16.25,13.30,3.91,5.80,8.47,24.52,9.62,14.12,,0.10,0.03,0.21,0.16,0.16,0.12,0.02,0.03,0.05,0.13,0.04,0.06,1.88,,0.76,0.78,0.75,0.77,0.88,0.89,0.36,0.36,0.30,0.31,0.26,-0.27,0.72,0.73,0.67,0.68,0.75,0.81
P013,4,27,Sugar,Robin Schulz,NA,2015,Pop,NA,10.91,4.89,6.27,8.66,14.24,0.00,5.30,24.06,32.13,16.47,31.75,4.95,,0.07,0.03,0.05,0.08,0.12,0.00,0.05,0.17,0.36,0.07,0.28,0.03,3.48,,0.88,0.88,0.87,0.87,0.91,0.94,0.50,0.52,0.50,0.51,0.55,0.62,0.87,0.87,0.85,0.86,0.90,0.93
P014,4,27,Have It All,Jeremy Kay,NA,2002,Pop,Singer-Songwriter,14.66,8.48,25.08,13.82,18.93,6.05,1.31,10.51,17.71,27.76,20.29,5.98,,0.11,0.04,0.23,0.14,0.15,0.07,0.01,0.07,0.16,0.13,0.12,0.03,1.41,,0.62,0.63,0.59,0.60,0.82,0.95,0.27,0.27,0.34,0.31,0.54,0.84,0.57,0.57,0.55,0.55,0.80,0.94
P015,4,28,Everybodys Changing,Keane,NA,2004,Pop,"Britpop, Alternative/Indie",14.13,12.16,8.60,19.67,20.89,9.20,1.05,5.65,20.68,31.91,19.72,7.68,,0.09,0.05,0.07,0.19,0.21,0.11,0.01,0.05,0.16,0.12,0.11,0.05,2.79,,0.48,0.48,0.39,0.37,0.58,0.86,0.55,0.55,0.50,0.49,0.55,0.89,0.69,0.69,0.63,0.62,0.75,0.94
P016,4,27,Only Time,Enya,NA,2000,Pop,NA,14.68,20.63,18.75,26.33,29.92,13.24,1.27,10.16,10.39,32.69,15.48,10.89,,0.10,0.20,0.16,0.30,0.30,0.17,0.02,0.07,0.06,0.20,0.06,0.07,4.26,,0.57,0.56,0.53,0.53,0.71,0.85,0.51,0.51,0.54,0.54,0.70,0.83,0.68,0.68,0.66,0.65,0.82,0.92
P017,5,28,Suddenly I See,Katie Tunstall,NA,2004,Pop,NA,22.43,9.34,13.44,14.36,13.36,0.00,1.03,19.93,42.07,26.90,39.44,0.96,,0.12,0.05,0.08,0.15,0.10,0.00,0.01,0.12,0.42,0.10,0.29,0.00,3.46,,0.84,0.85,0.85,0.87,0.91,0.97,0.67,0.66,0.68,0.67,0.83,0.95,0.87,0.87,0.86,0.87,0.92,0.98
P018,5,28,Grenade,Bruno Mars,NA,2010,Pop,NA,16.52,9.86,14.78,21.86,8.39,6.09,5.96,16.17,31.77,28.81,28.84,10.34,,0.10,0.07,0.08,0.23,0.07,0.10,0.04,0.11,0.26,0.10,0.19,0.06,4.61,,0.67,0.69,0.64,0.68,0.79,0.84,0.33,0.33,0.42,0.40,0.57,0.79,0.70,0.71,0.68,0.70,0.82,0.91
P019,5,28,Same Love,Macklemore,NA,2013,Pop,Rap,24.90,11.42,19.48,23.38,18.97,4.18,2.84,7.70,19.17,29.68,19.95,5.38,,0.17,0.07,0.19,0.25,0.13,0.06,0.04,0.05,0.13,0.16,0.09,0.05,3.00,,0.54,0.56,0.40,0.48,0.72,0.87,0.58,0.56,0.61,0.60,0.68,0.92,0.72,0.71,0.69,0.70,0.84,0.95
P020,5,28,Let Your Hair Down,Magic!,NA,2014,Pop,NA,10.35,6.92,18.00,13.63,23.03,0.00,7.93,5.01,11.62,22.40,13.82,7.37,,0.06,0.03,0.19,0.13,0.23,0.00,0.05,0.02,0.06,0.12,0.04,0.03,1.32,,0.71,0.70,0.70,0.70,0.82,0.69,0.35,0.39,0.28,0.33,0.56,0.70,0.73,0.73,0.68,0.68,0.78,0.78
P025,7,30,Don't Go Breaking My Heart,Elton John,NA,1993,Pop,NA,25.66,11.04,6.42,15.84,21.24,0.00,4.40,18.97,45.85,35.04,40.42,4.13,,0.11,0.05,0.03,0.13,0.13,0.00,0.03,0.10,0.43,0.09,0.28,0.02,3.53,,0.90,0.90,0.90,0.90,0.95,0.98,0.66,0.65,0.67,0.67,0.78,0.94,0.89,0.89,0.89,0.89,0.94,0.98
P026,7,30,Starboy,The Weeknd,NA,2016,Pop,R&B,21.36,11.14,12.89,10.58,14.75,4.36,10.23,10.27,24.65,27.16,25.12,12.99,,0.10,0.06,0.09,0.08,0.09,0.04,0.09,0.06,0.21,0.09,0.14,0.07,3.40,,0.46,0.48,0.49,0.49,0.55,-0.03,0.60,0.61,0.62,0.64,0.70,0.81,0.63,0.64,0.65,0.65,0.68,0.80
P027,7,30,Fallin Apart,All American Rejects,NA,2008,Pop,"Emo/Hardcore, Alternative/Indie, Rock",16.70,9.99,6.00,5.73,15.80,0.00,5.39,24.20,35.79,22.22,35.99,4.97,,0.08,0.04,0.03,0.04,0.10,0.00,0.03,0.16,0.30,0.06,0.24,0.02,1.77,,0.82,0.83,0.82,0.83,0.90,0.94,0.54,0.55,0.56,0.57,0.80,0.88,0.82,0.83,0.81,0.82,0.92,0.96
P028,7,30,Skinny Love,Bon Iver,NA,2008,Pop,Indie Folk,26.05,15.27,19.20,38.12,31.72,8.88,2.18,5.19,16.93,37.04,15.68,7.33,,0.16,0.10,0.13,0.38,0.26,0.10,0.01,0.03,0.11,0.19,0.08,0.05,2.90,,0.76,0.75,0.71,0.70,0.89,0.87,0.60,0.61,0.61,0.63,0.80,0.94,0.82,0.81,0.80,0.80,0.92,0.96
P029,8,31,I Kissed A Girl,Katie Perry,NA,2008,Pop,NA,19.51,7.41,4.00,15.31,9.39,1.03,5.03,27.15,39.79,28.45,37.08,4.73,,0.08,0.03,0.04,0.11,0.05,0.01,0.03,0.22,0.40,0.06,0.32,0.02,4.29,,0.87,0.88,0.86,0.88,0.92,0.90,0.71,0.72,0.74,0.74,0.81,0.96,0.90,0.90,0.90,0.90,0.93,0.95
P030,8,32,Closer To You,Brett Dennen,NA,2008,Pop,Rock,10.87,3.76,15.44,16.49,27.60,4.99,4.28,4.07,7.30,27.22,9.33,7.85,,0.05,0.02,0.13,0.16,0.26,0.06,0.03,0.02,0.05,0.11,0.04,0.04,1.59,,0.71,0.71,0.71,0.68,0.81,0.83,0.47,0.51,0.50,0.54,0.67,0.87,0.78,0.78,0.77,0.77,0.86,0.93
P031,8,32,Wohin Du Gehst,AnnenMayKantereit,NA,2016,Pop,Alternativ,11.70,7.82,3.23,17.44,8.68,1.49,6.03,20.84,23.64,22.22,27.00,6.63,,0.05,0.04,0.03,0.20,0.04,0.03,0.06,0.17,0.25,0.06,0.21,0.05,2.38,,0.71,0.73,0.74,0.75,0.76,0.85,0.30,0.34,0.34,0.38,0.64,0.67,0.73,0.74,0.74,0.76,0.83,0.89
P032,8,31,Fast Car,Tracy Chapman,NA,1988,Pop,NA,14.64,12.49,21.23,30.16,32.59,5.37,2.26,2.19,12.66,33.14,11.53,6.35,,0.09,0.06,0.17,0.27,0.27,0.05,0.04,0.01,0.07,0.16,0.04,0.04,3.52,,0.78,0.78,0.77,0.77,0.91,0.95,0.56,0.58,0.58,0.59,0.62,0.81,0.81,0.82,0.81,0.82,0.91,0.95
P033,9,26,I Couldnt Care Less,Leslie Clio,NA,2013,Pop,NA,11.74,3.14,6.85,1.01,14.96,0.00,5.22,11.97,26.02,19.72,25.56,4.89,,0.05,0.02,0.04,0.02,0.09,0.00,0.02,0.08,0.23,0.04,0.16,0.01,2.54,,0.61,0.61,0.65,0.66,0.83,0.80,0.57,0.58,0.48,0.50,0.58,0.71,0.75,0.75,0.75,0.75,0.85,0.88
P034,9,26,Hips Don't Lie,Shakira,NA,2005,Pop,NA,18.90,4.11,8.79,13.53,13.18,0.00,4.59,22.17,43.73,28.60,38.28,4.31,,0.07,0.02,0.06,0.09,0.06,0.00,0.02,0.12,0.39,0.06,0.27,0.01,4.54,,0.75,0.76,0.77,0.78,0.81,0.82,0.86,0.86,0.85,0.85,0.89,0.93,0.90,0.90,0.90,0.90,0.92,0.95
P035,9,27,Whole Again,Atomic Kitten,NA,2000,Pop,NA,14.66,5.08,14.82,21.65,6.64,1.48,2.07,4.42,21.40,26.33,19.59,3.05,,0.07,0.03,0.12,0.19,0.05,0.03,0.02,0.02,0.12,0.08,0.07,0.02,3.19,,0.47,0.49,0.43,0.45,0.47,0.85,0.56,0.57,0.63,0.64,0.72,0.82,0.68,0.68,0.71,0.72,0.81,0.91
P036,9,26,Who Knew,Pink,NA,2006,Pop,NA,10.78,8.03,9.75,27.23,8.17,11.76,1.52,21.51,23.21,28.95,26.60,9.38,,0.07,0.03,0.05,0.22,0.07,0.13,0.01,0.12,0.17,0.08,0.15,0.05,3.81,,0.40,0.40,0.35,0.35,0.53,0.75,0.59,0.57,0.55,0.54,0.66,0.78,0.70,0.71,0.67,0.68,0.79,0.88
P037,10,29,Baby One More Time,Britney Spears,NA,1998,Pop,NA,14.45,9.22,11.52,16.06,9.88,4.64,8.15,19.64,27.08,26.04,30.08,10.44,,0.07,0.04,0.06,0.11,0.08,0.07,0.06,0.12,0.22,0.07,0.18,0.06,4.31,,0.82,0.82,0.75,0.75,0.88,0.96,0.46,0.48,0.40,0.43,0.06,0.31,0.73,0.74,0.69,0.69,0.71,0.86
P038,10,28,Smooth,Carlos Santana,feat Rob Thomas,1999,Pop,Latin Pop,12.39,0.77,8.63,6.46,5.58,0.00,4.67,18.06,33.43,20.87,32.52,4.30,,0.07,0.01,0.06,0.06,0.04,0.00,0.03,0.12,0.28,0.05,0.21,0.02,3.50,,0.63,0.64,0.64,0.65,0.87,0.89,0.77,0.78,0.74,0.75,0.87,0.92,0.83,0.84,0.82,0.82,0.92,0.95
P039,10,28,River,Leon Bridges,NA,2015,Pop,"R&B, Soul",15.74,11.00,19.33,17.26,24.42,2.55,2.06,3.39,8.78,31.44,8.47,4.08,,0.08,0.08,0.16,0.13,0.23,0.02,0.01,0.01,0.05,0.13,0.04,0.02,1.93,,0.49,0.48,0.26,0.24,0.76,0.91,0.57,0.57,0.54,0.55,0.77,0.96,0.70,0.71,0.66,0.67,0.85,0.97
P040,10,29,Strawberry Fields Forever,The Beatles,NA,1967,Pop,NA,14.29,9.54,24.80,22.09,25.07,2.28,5.99,2.17,6.33,30.99,6.87,7.47,,0.08,0.05,0.18,0.21,0.21,0.02,0.03,0.01,0.07,0.13,0.04,0.03,2.86,,0.64,0.63,0.54,0.53,0.51,0.48,0.67,0.68,0.66,0.67,0.85,0.94,0.77,0.77,0.75,0.75,0.87,0.95
P041,11,28,Nine In The Afternoon,Panic! at the Disco,NA,2008,Pop,NA,16.45,11.00,12.88,14.35,10.44,2.38,4.71,14.47,27.94,28.83,26.20,6.43,,0.10,0.06,0.10,0.10,0.09,0.01,0.03,0.09,0.22,0.09,0.16,0.02,2.29,,0.43,0.47,0.18,0.26,0.65,0.72,0.33,0.32,0.32,0.33,0.68,0.90,0.56,0.57,0.45,0.48,0.76,0.92
P042,11,28,Fluorescent Adolescent,Arctic Monkeys,NA,2007,Pop,Indie,28.37,5.46,5.36,11.71,12.31,2.21,1.20,14.54,38.62,27.26,35.32,2.95,,0.13,0.03,0.03,0.10,0.08,0.01,0.02,0.08,0.32,0.07,0.21,0.02,3.07,,0.79,0.80,0.77,0.80,0.89,0.91,0.76,0.77,0.73,0.74,0.89,0.96,0.87,0.88,0.86,0.87,0.94,0.97
P043,11,28,I'll Be Missing You,Puff Daddy,NA,1997,Pop,R&B,22.25,12.96,14.52,28.78,13.13,12.15,3.64,5.81,19.48,34.37,19.84,11.39,,0.13,0.07,0.10,0.24,0.11,0.16,0.04,0.02,0.11,0.12,0.07,0.09,4.43,,0.49,0.49,0.42,0.44,0.77,0.85,0.48,0.45,0.47,0.45,0.54,0.81,0.63,0.61,0.59,0.58,0.74,0.91
P044,11,28,Rivers And Roads,The Head And The Heart,NA,2011,Pop,Neofolk,16.12,7.59,20.46,30.34,21.59,18.88,0.71,1.44,7.30,31.83,6.69,15.25,,0.09,0.05,0.18,0.32,0.16,0.21,0.01,0.01,0.03,0.15,0.02,0.09,1.75,,0.74,0.76,0.65,0.69,0.86,0.94,0.47,0.48,0.43,0.44,0.65,0.85,0.79,0.80,0.71,0.73,0.88,0.95
P045,12,27,Shape Of You,Ed Sheeran,NA,2017,Pop,NA,23.52,10.86,15.23,22.26,13.40,3.41,8.04,9.87,31.75,31.14,27.76,7.84,,0.11,0.05,0.10,0.19,0.07,0.03,0.04,0.04,0.30,0.10,0.18,0.04,4.59,,0.76,0.77,0.74,0.76,0.72,0.71,0.56,0.57,0.60,0.61,0.60,0.86,0.79,0.80,0.79,0.80,0.80,0.90
P046,12,27,Just Can't Get Enough,Black Eyed Peas,NA,2010,Pop,NA,6.28,8.30,9.32,13.07,12.88,0.67,2.99,4.80,17.26,23.66,16.81,2.75,,0.04,0.04,0.05,0.08,0.09,0.03,0.02,0.03,0.15,0.06,0.09,0.02,2.59,,0.39,0.41,0.33,0.33,0.42,0.79,0.15,0.16,0.07,0.06,0.41,0.80,0.51,0.51,0.46,0.44,0.65,0.89
P047,12,27,Redbone,Childish Gambino,NA,2016,Pop,"Psychadelic Soul, Neo Soul",7.07,7.60,15.99,15.85,13.89,2.20,9.36,3.91,17.91,26.06,18.58,9.91,,0.03,0.04,0.12,0.10,0.10,0.03,0.11,0.02,0.11,0.07,0.06,0.08,2.67,,0.62,0.60,0.60,0.52,0.17,0.23,0.38,0.38,0.36,0.37,0.58,0.78,0.56,0.56,0.57,0.55,0.59,0.75
P048,12,27,Hurt,Johnny Cash,NA,2002,Pop,NA,11.73,7.99,9.54,25.20,16.44,25.29,3.80,5.07,4.18,30.00,8.44,22.13,,0.06,0.06,0.08,0.26,0.13,0.30,0.02,0.03,0.03,0.11,0.03,0.13,2.82,,0.74,0.73,0.72,0.72,0.84,0.92,0.58,0.58,0.59,0.59,0.40,0.48,0.80,0.80,0.79,0.78,0.79,0.89
P049,13,31,Treasure,Bruno Mars,NA,2012,Pop,NA,14.22,5.62,10.57,6.86,16.75,0.56,4.36,15.45,35.81,29.14,34.16,3.87,,0.07,0.03,0.08,0.05,0.09,0.01,0.04,0.10,0.30,0.06,0.21,0.03,3.71,,0.78,0.79,0.83,0.83,0.88,0.89,0.69,0.69,0.66,0.67,0.72,0.96,0.84,0.84,0.85,0.85,0.90,0.96
P050,13,31,I Wish,Stevie Wonder,NA,1976,Pop,NA,15.17,1.05,4.08,9.42,8.46,1.66,1.55,13.75,40.20,22.18,36.73,2.85,,0.07,0.01,0.03,0.06,0.05,0.01,0.01,0.11,0.39,0.04,0.26,0.01,2.29,,0.88,0.88,0.87,0.88,0.94,0.95,0.79,0.79,0.79,0.79,0.87,0.97,0.90,0.91,0.90,0.90,0.95,0.98
P051,13,31,Who's Lovin You,The Jackson 5,NA,1969,Pop,Soul,17.63,8.47,20.39,23.84,23.22,4.80,0.00,4.78,14.63,34.75,13.91,4.05,,0.10,0.04,0.16,0.20,0.17,0.04,0.00,0.03,0.09,0.13,0.06,0.02,2.19,,0.57,0.57,0.54,0.54,0.79,0.96,0.48,0.50,0.47,0.48,0.66,0.93,0.70,0.70,0.68,0.68,0.86,0.97
P052,13,31,Porcelain,Moby,NA,1999,Pop,NA,13.41,9.14,12.56,18.49,20.43,0.00,0.74,3.63,10.45,29.84,10.07,0.69,,0.07,0.05,0.07,0.19,0.19,0.00,0.01,0.02,0.07,0.10,0.04,0.00,2.48,,0.70,0.69,0.65,0.63,0.70,0.93,0.48,0.49,0.33,0.35,0.68,0.96,0.73,0.73,0.68,0.67,0.83,0.97
P053,14,44,Happy,Pharrell Williams,NA,2013,Pop,Pop,20.40,5.28,3.38,7.88,18.11,0.00,3.83,22.07,44.53,26.68,40.07,3.44,,0.07,0.02,0.02,0.06,0.10,0.00,0.04,0.11,0.39,0.05,0.26,0.03,4.50,,0.93,0.93,0.93,0.93,0.96,0.96,0.83,0.83,0.84,0.84,0.92,0.97,0.94,0.94,0.94,0.94,0.97,0.98
P054,14,44,Wannabe,Spice Girls,NA,1996,Pop,NA,13.52,1.10,3.49,13.71,15.06,0.00,5.61,24.14,47.86,26.75,44.08,5.19,,0.06,0.00,0.01,0.10,0.08,0.00,0.04,0.16,0.43,0.05,0.31,0.02,4.41,,0.95,0.95,0.95,0.95,0.97,0.98,0.81,0.82,0.81,0.81,0.85,0.93,0.95,0.95,0.95,0.95,0.97,0.98
P055,14,43,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,NA,1968,Pop,Soul,15.22,13.43,16.54,16.54,13.50,3.41,2.15,15.88,21.33,30.43,25.83,4.68,,0.09,0.10,0.14,0.15,0.10,0.04,0.01,0.13,0.14,0.11,0.13,0.02,3.40,,0.46,0.45,0.39,0.35,0.63,0.93,0.64,0.63,0.62,0.61,0.65,0.96,0.67,0.66,0.64,0.61,0.79,0.97
P056,14,43,Feeling Good,Nina Simone,NA,1965,Pop,Soul,12.11,15.30,17.14,19.21,17.54,0.39,1.95,24.00,30.05,31.24,33.77,2.16,,0.08,0.09,0.14,0.15,0.13,0.01,0.02,0.16,0.25,0.11,0.21,0.02,4.12,,0.69,0.69,0.71,0.70,0.86,0.97,0.42,0.41,0.41,0.39,0.78,0.98,0.76,0.75,0.76,0.74,0.91,0.99
P057,15,30,I Wanna Dance With Somebody,Whitney Houston,NA,1987,Pop,R&B,23.95,7.15,10.11,25.57,14.98,2.38,0.94,28.61,51.04,33.85,44.90,2.89,,0.13,0.07,0.07,0.18,0.08,0.02,0.01,0.18,0.46,0.10,0.33,0.01,4.07,,0.89,0.89,0.90,0.90,0.93,0.98,0.80,0.80,0.85,0.84,0.90,0.97,0.92,0.92,0.93,0.93,0.95,0.99
P058,15,30,Easy Streets,The Collapsable Hearts Club,NA,2016,Pop,NA,10.55,2.57,2.42,6.52,6.57,0.00,16.44,9.23,25.77,14.50,24.11,15.02,,0.07,0.02,0.01,0.05,0.05,0.00,0.12,0.06,0.25,0.04,0.16,0.08,1.60,,0.71,0.71,0.73,0.71,0.85,0.42,0.56,0.57,0.57,0.58,0.67,-0.20,0.79,0.78,0.79,0.78,0.88,0.53
P059,15,30,Somebody That I Used To Know,Gotye,NA,2011,Pop,NA,13.21,11.33,12.06,27.23,17.47,12.19,2.48,7.52,25.46,27.37,24.83,12.29,,0.11,0.07,0.09,0.25,0.15,0.11,0.01,0.06,0.23,0.13,0.16,0.05,4.13,,0.65,0.67,0.55,0.57,0.83,0.88,0.33,0.30,0.27,0.24,0.17,0.09,0.69,0.70,0.62,0.63,0.81,0.83
P060,15,30,Love Yourself,Justin Bieber,NA,2015,Pop,NA,9.97,7.58,27.97,17.93,27.65,5.62,1.88,0.20,18.10,30.44,15.94,5.75,,0.07,0.06,0.24,0.20,0.25,0.04,0.03,0.01,0.17,0.15,0.09,0.03,4.07,,0.64,0.66,0.65,0.68,0.87,0.91,0.59,0.60,0.63,0.63,0.79,0.89,0.77,0.78,0.78,0.79,0.91,0.95
P061,16,25,Hard Work,Theo Katzman,NA,2016,Pop,Alternative Blues,23.17,4.95,4.10,5.13,14.42,0.00,6.85,14.07,32.81,23.97,29.14,6.26,,0.13,0.03,0.04,0.07,0.09,0.00,0.06,0.14,0.37,0.07,0.26,0.04,1.40,,0.71,0.72,0.73,0.74,0.82,0.82,0.81,0.83,0.79,0.81,0.86,0.85,0.87,0.88,0.86,0.87,0.91,0.92
P062,16,25,Swish Swish,Katy Perry,NA,2017,Pop,NA,10.83,2.94,1.65,1.80,9.22,1.63,10.08,19.10,34.26,15.24,30.81,10.43,,0.07,0.03,0.02,0.01,0.06,0.01,0.11,0.12,0.35,0.04,0.24,0.08,2.20,,0.57,0.60,0.59,0.62,0.74,0.06,0.88,0.88,0.90,0.90,0.94,0.97,0.86,0.87,0.89,0.89,0.92,0.87
P063,16,25,Words,Bee Gees,NA,1977,Pop,NA,11.16,5.22,7.91,14.90,22.78,1.17,15.28,5.20,8.35,22.20,10.27,14.02,,0.09,0.05,0.08,0.18,0.24,0.03,0.12,0.04,0.05,0.12,0.05,0.09,2.12,,0.53,0.28,0.40,0.20,0.49,-0.41,0.44,0.48,0.48,0.52,0.66,0.45,0.66,0.62,0.64,0.62,0.76,0.60
P064,16,25,Lay Me Down,Sam Smith,NA,2014,Pop,NA,16.42,16.07,26.75,25.55,26.86,25.79,0.00,0.00,2.59,36.16,2.31,19.97,,0.14,0.12,0.24,0.26,0.30,0.25,0.00,0.00,0.02,0.21,0.01,0.10,3.04,,0.54,0.53,0.42,0.42,0.69,0.89,0.78,0.77,0.76,0.75,0.83,0.95,0.81,0.82,0.80,0.80,0.89,0.97
P065,17,29,Memories,David Guetta,NA,2009,Pop,EDM,5.57,2.80,1.78,9.03,3.55,0.00,10.18,13.95,33.54,13.68,30.26,9.20,,0.02,0.02,0.01,0.06,0.03,0.00,0.08,0.08,0.33,0.03,0.22,0.05,2.90,,0.76,0.78,0.73,0.75,0.86,0.70,0.80,0.81,0.78,0.79,0.83,0.85,0.88,0.89,0.86,0.87,0.92,0.89
P066,17,29,Umbrella,Rihanna,NA,2007,Pop,R&B,21.24,7.08,7.41,21.15,7.09,3.71,5.69,10.24,27.74,23.97,26.39,8.18,,0.13,0.06,0.06,0.17,0.06,0.03,0.05,0.10,0.24,0.09,0.17,0.04,4.48,,0.27,0.13,0.56,0.34,0.66,-3.33,0.84,0.83,0.82,0.82,0.88,0.95,0.80,0.81,0.79,0.80,0.87,0.89
P067,17,29,A Thousand Miles,Vanessa Carlton,NA,2001,Pop,NA,26.49,4.31,13.87,27.54,13.58,2.93,4.32,5.92,32.85,31.08,29.15,6.31,,0.13,0.02,0.11,0.25,0.11,0.05,0.03,0.04,0.24,0.12,0.15,0.04,3.72,,0.25,0.23,0.23,0.24,0.55,0.29,0.88,0.87,0.90,0.90,0.95,0.98,0.80,0.80,0.83,0.84,0.92,0.95
